GRUPO,UNIDADE ,REP 671 ,GEOLOCALIZAÇÃO,APARELHO,MODELO,ONE UI,VERSÃO ANDROID 
RIO NEGRO,L-05,DESATUALIZADO,Válido ,,,,
RIO NEGRO,L-15,DESATUALIZADO,Válido ,,,,
RIO SOLIMÕES,L-32,DESATUALIZADO,Válido ,,,,
RIO NEGRO,L-42,ATUALIZADO,Válido ,,,,
RIO NEGRO,L-44,ATUALIZADO,Válido ,Tab A7 Lite,SM-T225 ,6.1,14.0
RIO SOLIMÕES,L-45,DESATUALIZADO,Válido ,,,,
RIO SOLIMÕES,L-46,DESATUALIZADO,Válido ,,,,
RIO NEGRO,L-47,DESATUALIZADO,Válido ,,,,
,MATRIZ,DESATUALIZADO,Inválido,,,,
RIO NEGRO,N-01,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-02,DESATUALIZADO,Inválido,,,,
RIO NEGRO,N-03,DESATUALIZADO,Válido ,,,,
RIO NEGRO,N-06,DESATUALIZADO,Válido ,,,,
RIO NEGRO,N-12,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-13,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-14,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-16,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-17,ATUALIZADO,Inválido,Tab A7 Lite,SM-T225,6.1,14.0
RIO NEGRO,N-19,DESATUALIZADO,Válido ,,,,
RIO NEGRO,N-21,ATUALIZADO,Válido ,Tab A7 Lite,SM-T225,4.1,12.0
RIO NEGRO,N-22,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-23,ATUALIZADO,Inválido,Tab A7 Lite,SM-T225 ,6.1,14.0
RIO NEGRO,N-24,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-26,ATUALIZADO,Válido ,Tab A7 Lite,SM-T225,3.1,11.0
RIO NEGRO,N-27,ATUALIZADO,Válido ,Tab A7 Lite,SM-T225,3.1,11.0
RIO NEGRO,N-30,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-31,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-35,ATUALIZADO,Inválido,Tab A7 Lite,SM-T225,6.1,14.0
RIO NEGRO,N-36,ATUALIZADO,Válido ,Tab A7 Lite,SM-T225,6.1,14.0
RIO NEGRO,N-39,DESATUALIZADO,Inválido,,,,
RIO NEGRO,N-40,ATUALIZADO,Válido ,Tab A7 Lite,SM-T225 ,6.1,14.0
RIO NEGRO,N-41,ATUALIZADO,Válido ,Tab A7 Lite,SM-T225,6.1,14.0
RIO NEGRO,N-42,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-43,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-46,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-47,ATUALIZADO,Válido ,Tab A9,SM-X115,5.1.1,13.0
RIO NEGRO,N-48,ATUALIZADO,Válido ,Tab A9,SM-X115,7,15.0
RIO NEGRO,N-49,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-50,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-51,ATUALIZADO,Válido ,Tab A7 Lite,SM-T225,3.1,11.0
RIO NEGRO,N-52,ATUALIZADO,Válido ,Tab A7 Lite,SM-T225,3.1,11.0
RIO NEGRO,N-53,ATUALIZADO,Válido ,Tab A9,SM-X115,7,15.0
RIO NEGRO,N-54,ATUALIZADO,Válido ,,,,
RIO NEGRO,N-55,ATUALIZADO,Válido ,Tab A7 Lite,SM-T225,6.1,14.0
RIO NEGRO,N-56,ATUALIZADO,Válido ,Tab A7 Lite,SM-T225,6.1,14.0
RIO SOLIMÕES,N-57,ATUALIZADO,Válido ,Tab A7 Lite,SM-T225 ,6.1,14.0
RIO NEGRO,N-58,ATUALIZADO,Válido ,,,,
RIO SOLIMÕES,N-59,ATUALIZADO,Válido ,Tab A7 Lite,SM-T225 ,6.1,14.0
RIO NEGRO,N-60,ATUALIZADO,Inválido,Tab A7 Lite,SM-T225,6.1,14.0
RIO NEGRO,O-01,DESATUALIZADO,Válido ,,,,
RIO SOLIMÕES,O-07,ATUALIZADO,Válido ,,,,
RIO SOLIMÕES,O-10,DESATUALIZADO,Válido ,,,,
RIO SOLIMÕES,O-11,DESATUALIZADO,Válido ,,,,
RIO SOLIMÕES,O-18,DESATUALIZADO,Válido ,,,,
RIO NEGRO,O-19,ATUALIZADO,Válido ,,,,
RIO SOLIMÕES,O-22,DESATUALIZADO,Válido ,,,,
RIO NEGRO,O-38,DESATUALIZADO,Inválido,,,,
RIO NEGRO,O-43,DESATUALIZADO,Válido ,,,,
RIO NEGRO,O-45,DESATUALIZADO,Válido ,,,,
RIO NEGRO,O-46,ATUALIZADO,Válido ,,,,
RIO SOLIMÕES,O-48,ATUALIZADO,Válido ,,,,
RIO SOLIMÕES,O-53,ATUALIZADO,Válido ,,,,
RIO NEGRO,S-01,ATUALIZADO,Válido ,,,,
RIO SOLIMÕES,S-05,ATUALIZADO,Válido ,,,,
RIO NEGRO,S-12,ATUALIZADO,Válido ,,,,
RIO SOLIMÕES,S-33,ATUALIZADO,Inválido,,,,
RIO NEGRO,S-43,ATUALIZADO,Válido ,,,,
RIO SOLIMÕES,USF Benedito Batista de Almeida,ATUALIZADO,Válido ,Tab A9 ,SM-X115,6.1,14.0
RIO NEGRO,USF Dr Agnaldo Gomes da Costa,ATUALIZADO,Válido ,,,,
RIO SOLIMÕES,USF Parque das Tribos,ATUALIZADO,Válido ,,,,
RIO NEGRO,USF Prefeito Amazonino Mendes,ATUALIZADO,Válido ,,,,
RIO NEGRO,USF Prefeito Frank Abrahim Lima,ATUALIZADO,Válido ,,,,
RIO NEGRO,USF Prefeito Manoel Ribeiro,ATUALIZADO,Válido ,,,,
RIO NEGRO,USF Silvio Santos,DESATUALIZADO,Inválido,,,,
RIO SOLIMÕES,USF Walid Aziz,ATUALIZADO,Válido ,,,,
,L-09 (DESATIVADA),,,,,,
